,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
442116,175 Masonic Club,Pass,,,,2010-03-23,55.951741,-4.765283
442117,A & A Bakeries,Pass,,,,2014-09-16,55.92512,-4.665313
442118,A & D Foodstore,Pass,,,,2011-11-23,55.949339,-4.813394
442119,A & R Licensed Grocers,Improvement Required,,,,2014-06-12,55.936296,-4.734011
442120,A.C.Still,Pass,,,,2011-03-31,55.94133,-4.816129
442121,Aania's,Pass,,,,2014-11-06,55.952708,-4.764262
442122,Abbeyfield,Pass,,,,2014-02-04,55.95237,-4.769685
442123,Abbeyfield Residential Home,Pass,,,,2014-02-13,55.957212,-4.769022
442124,Aileymill Nursery School,Pass,,,,2010-05-11,55.940497,-4.817205
442125,Aileymill Primary School,Pass,,,,2014-01-21,55.940497,-4.817205
442126,Alan McShane Family Butcher,Pass,,,,2012-09-24,55.942138,-4.765815
442127,Albert Hotel,Pass,,,,2010-03-23,55.956416,-4.810912
442128,Aldi Stores Limited,Pass,,,,2014-06-19,55.953453,-4.7647
442129,All Saints Primary School,Pass,,,,2013-12-16,55.934589,-4.738022
442130,Alt-Na-Craig House,Pass,,,,2014-10-08,55.956812,-4.783958
442131,Alzheimer Scotland,Pass,,,,2015-01-26,55.945426,-4.788251
442132,Amazon,Pass,,,,2014-09-04,55.946171,-4.839597
442133,Ancient Order Hibernian Club (Caterer),Pass,,,,2013-10-15,55.930735,-4.674953
442134,Ancient Order Hibernians Social,Pass,,,,2012-02-22,55.930735,-4.674953
442135,Angus Road Stores,Improvement Required,,,,2014-11-03,55.944327,-4.824243
442136,ARAMARK Limited,Pass,,,,2014-08-25,55.940316,-4.721338
442137,Ardgowan B&B,Pass,,,,2011-03-23,55.952481,-4.766745
442138,Ardgowan Club,Pass,,,,2010-05-26,55.952724,-4.770736
442139,Ardgowan Hospice,Pass,,,,2013-07-31,55.949496,-4.766773
442140,Ardgowan Hospice - Access At Ardgowan,Pass,,,,2014-05-22,55.950481,-4.766955
442141,Ardgowan Primary School,Pass,,,,2015-01-15,55.943173,-4.815366
442142,Ardgowan Trout Fishery,Pass,,,,2014-03-25,,
442143,Argyll & Sutherland,Pass,,,,2014-11-14,55.94687,-4.766057
442144,Ashgrove,Pass,,,,2014-01-27,55.867272,-4.616669
